"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Ray","Surrey","","","","(a) Kiel, relay of Hamburg","Hamburg","Germany","53.5","10.0","Ray (Surrey): (a) Kiel, relay of Hamburg, (b) Bordeaux, relay of PTT, Paris."
"Ray","Surrey","","","","(b) Bordeaux, relay of PTT, Paris","Paris","France","48.9","2.4","Ray (Surrey): (a) Kiel, relay of Hamburg, (b) Bordeaux, relay of PTT, Paris."
"F. J. E.","Herne Hill","","","","Oslo","Oslo","Norway","59.9","10.8","F. J. E. (Herne Hill): Oslo."
"Llewyas","","","","","Koenigs Wusterhausen","Koenigs Wusterhausen","Germany","52.4","13.6","Llewyas: Koenigs Wusterhausen."
"Coil Pusher","","","","","Madrid (EAJ6)","Madrid","Spain","40.4","-3.7","Coil Pusher: Madrid (EAJ6)."
"Ajax","","","","","Breslau, relay of Berlin's relay of 5 XX","Berlin","Germany","52.5","13.4","Ajax: Breslau, relay of Berlin's relay of 5 XX."
"Melville","Fishponds","","","","Stettin or Gleiwitz, relay of Berlin","Berlin","Germany","52.5","13.4","Melville (Fishponds): Stettin or Gleiwitz, relay of Berlin."
"Sundial","","","","","most probably an amateur","","","","","Sundial: most probably an amateur."
"Wave Catcher","","","","","yes, Oslo","Oslo","Norway","59.9","10.8","Wave Catcher: yes, Oslo."
"Haggis","Leicester","","","","Soro, relay of Copenhagen","Copenhagen","Denmark","55.7","12.6","Haggis (Leicester): Soro, relay of Copenhagen."
"Branford","Birmingham","","","","Cardiff","Cardiff","UK","51.5","-3.2","Branford (Birmingham): Cardiff."
"Promotion","Leicester","","","","(1) rather vague, possibly Stettin","Stettin","Germany","53.4","14.6","Promotion (Leicester): (1) rather vague, possibly Stettin, (b) Gothenburg; relay of Stockholm."
"Promotion","Leicester","","","","(b) Gothenburg; relay of Stockholm","Stockholm","Sweden","59.3","18.1","Promotion (Leicester): (1) rather vague, possibly Stettin, (b) Gothenburg; relay of Stockholm."
"Tyke","Leeds","","","","(1) Breslau; relay of Berlin","Berlin","Germany","52.5","13.4","Tyke (Leeds): (1) Breslau; relay of Berlin, (2) Hamburg."
"Tyke","Leeds","","","","(2) Hamburg","Hamburg","Germany","53.5","10.0","Tyke (Leeds): (1) Breslau; relay of Berlin, (2) Hamburg."
"W. S. H.","Cambridge","","","","yes, Oslo","Oslo","Norway","59.9","10.8","W. S. H. (Cambridge): yes, Oslo."
"H. V.","Bordeaux","","","","Sorø, relay of Copenhagen (Strauss evening)","Copenhagen","Denmark","55.7","12.6","H. V. Bordeaux: Sorø, relay of Copenhagen (Strauss evening)."
"3 D. E. V.","Burnley","","","","Breslau; relay of Berlin","Berlin","Germany","52.5","13.4","3 D. E. V. (Burnley): Breslau; relay of Berlin."
"Cheriton","","","","","Oslo (Hotel Bristol)","Oslo","Norway","59.9","10.8","Cheriton: Oslo (Hotel Bristol), J. A. C. (Fakenham): Dortmund, relay of Muenster."
"J. A. C.","Fakenham","","","","Dortmund, relay of Muenster","Muenster","Germany","51.9","7.6","Cheriton: Oslo (Hotel Bristol), J. A. C. (Fakenham): Dortmund, relay of Muenster."
