"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Ukulele","Bedford","UK","52.1","-0.5","Cannot understand time; do you mean a.m. or p.m.? Continental stations closed down at midnight. If p.m. possibly Radio-Paris, but item not advertised in programme and station usually opens at 12.30.","Paris","France","48.9","2.4","Ukulele (Bedford): Cannot understand time; do you mean a.m. or p.m.? Continental stations closed down at midnight. If p.m. possibly Radio-Paris, but item not advertised in programme and station usually opens at 12.30."
"Hunkermonker","","","","","Hamburg programme from Hotel Continental, Hanover; in this case, a casual relay.","Hamburg","Germany","53.5","10.0","Hunkermonker: Hamburg programme from Hotel Continental, Hanover; in this case, a casual relay."
"No Name","","","","","(a) Yes, Karlsborg relaying Stockholm.","Stockholm","Sweden","59.3","18.1","No Name: (a) Yes, Karlsborg relaying Stockholm; (b) Toulouse, relay of PTT, Paris; (c) Barcelona (EAJ13)."
"No Name","","","","","(b) Toulouse, relay of PTT, Paris.","Paris","France","48.9","2.4","No Name: (a) Yes, Karlsborg relaying Stockholm; (b) Toulouse, relay of PTT, Paris; (c) Barcelona (EAJ13)."
"No Name","","","","","(c) Barcelona (EAJ13).","Barcelona","Spain","41.4","2.2","No Name: (a) Yes, Karlsborg relaying Stockholm; (b) Toulouse, relay of PTT, Paris; (c) Barcelona (EAJ13)."
"Gilot","","","","","Are you sure of your wave-length; can trace no late transmission on 800 m. at that time.","","","","","Gilot (2): Are you sure of your wave-length; can trace no late transmission on 800 m. at that time."
"Reflex","Croydon","UK","51.4","-0.1","Yes, Dublin.","Dublin","Ireland","53.3","-6.3","Reflex (Croydon): Yes, Dublin."
"G.S.E.C.","Leyton","UK","51.6","0.0","Frankfort-on-Main.","Frankfurt","Germany","50.1","8.7","G.S.E.C. (Leyton): Frankfort-on-Main."
"Lichfieldian","Staffs","UK","52.8","-2.0","Frankfort-on-Main (470 m).","Frankfurt","Germany","50.1","8.7","Lichfieldian (Staffs): Frankfort-on-Main (470 m)."
"Halfah","","","","","Cannot trace.","","","","","Halfah: Cannot trace."
