"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"E. J. B.","S.E. 22","","","","Kaiserslautern (204.1 m.) relaying Munich, Radioni Circus.","Munich","Germany","48.1","11.6","E. J. B. (S.E. 22): Kaiserslautern (204.1 m.) relaying Munich, Radioni Circus."
"J. O.","Derry","UK","54.9","-7.3","(1) Bergen; English lesson by F. L. M. Somerville.","Bergen","Norway","60.4","5.3","J. O. (Derry): (1) Bergen; English lesson by F. L. M. Somerville; (2) Cologne (chimes from the studio) at 6.35 p.m. G.M.T., sports news."
"J. O.","Derry","UK","54.9","-7.3","(2) Cologne (chimes from the studio) at 6.35 p.m. G.M.T., sports news.","Cologne","Germany","50.9","6.9","J. O. (Derry): (1) Bergen; English lesson by F. L. M. Somerville; (2) Cologne (chimes from the studio) at 6.35 p.m. G.M.T., sports news."
"SET","Barling, Southend-on-Sea","UK","51.5","0.7","Königswusterhausen, relaying Breslau revue, Hallo! the Earth.","Breslau","Germany","51.1","17.0","SET (Barling, Southend-on-Sea): Königswusterhausen, relaying Breslau revue, Hallo! the Earth."
"Mac","Glasgow","UK","55.9","-4.3","An amateur transmission but you apparently misunderstood the call sign, as we have ascertained that 6MW was not working on that date.","","","","","Mac (Glasgow): An amateur transmission but you apparently misunderstood the call sign, as we have ascertained that 6MW was not working on that date."
"Semloh","Streatham Common","UK","51.4","-0.1","Stettin, relaying Berlin; drama: Brand (Ibsen); also orchestral selections.","Berlin","Germany","52.5","13.4","Semloh (Streatham Common): Stettin, relaying Berlin; drama: Brand (Ibsen); also orchestral selections."
"Det. 2L.F.","Newcombe Road, Leicester","UK","52.6","-1.1","PTT Lille, relaying from the Lilliana Dance Hall.","Lille","France","50.6","3.1","Det. 2L.F. (Newcombe Road, Leicester): PTT Lille, relaying from the Lilliana Dance Hall."
"C. A. V.","Barnsley","UK","53.6","-1.5","Breslau; revue, Hallo! the Earth.","Breslau","Germany","51.1","17.0","C. A. V. (Barnsley): Breslau; revue, Hallo! the Earth."
"N. D. P.","Curious","","","","This was a broadcast of the reception of Colonel Lindbergh at Washington; it was relayed by many U.S.A. stations and also rebroadcast by most of the German transmitters; you received this through Cologne.","Cologne","Germany","50.9","6.9","N. D. P. (Curious): This was a broadcast of the reception of Colonel Lindbergh at Washington; it was relayed by many U.S.A. stations and also rebroadcast by most of the German transmitters; you received this through Cologne. See paragraph in last week’s Via Ether."
"F. Parr","nr. Halifax","UK","53.7","-1.9","Yes, WEAF (New York) received direct.","New York","USA","40.7","-74.0","F. Parr (nr. Halifax): Yes, WEAF (New York) received direct."
"Bunny","Stroud","UK","51.7","-2.2","Dublin (news and weather).","Dublin","Ireland","53.3","-6.3","Bunny (Stroud): Dublin (news and weather)."
"H. Lord","Lincolnshire","UK","53.2","-0.5","2NM, amateur; Caterham, Surrey.","Caterham","UK","51.3","-0.1","H. Lord (Lincolnshire): 2NM, amateur; Caterham, Surrey."
"Geo Dee","Kensal Rise","UK","51.5","-0.2","TRI, wireless club transmitter at Copenhagen.","Copenhagen","Denmark","55.7","12.6","Geo Dee (Kensal Rise): TRI, wireless club transmitter at Copenhagen."
"G. H. L.","N.I.","","","","A Polish station broadcasting election results with gramophone records in the intervals; either Posen or Kattowitcz.","Posen","Poland","52.4","16.9","G. H. L. (N.I.): A Polish station broadcasting election results with gramophone records in the intervals; either Posen or Kattowitcz."
"O-V-1","Birmingham","UK","52.5","-1.9","Eiffel Tower testing on short waves.","Paris","France","48.9","2.4","O-V-1 (Birmingham): Eiffel Tower testing on short waves."
"Morse Martyr","Southampton","UK","50.9","-1.4","(1) Hamburg broadcasting the reception of Colonel Lindbergh at Washington on his return from his flight to Mexico and other South American States; this was taken by many of the German stations.","Hamburg","Germany","53.5","10.0","Morse Martyr (Southampton): (1) Hamburg broadcasting the reception of Colonel Lindbergh at Washington on his return from his flight to Mexico and other South American States; this was taken by many of the German stations; (2) apparently WPG (Atlantic City) received direct."
"Morse Martyr","Southampton","UK","50.9","-1.4","(2) apparently WPG (Atlantic City) received direct.","Atlantic City","USA","39.4","-74.5","Morse Martyr (Southampton): (1) Hamburg broadcasting the reception of Colonel Lindbergh at Washington on his return from his flight to Mexico and other South American States; this was taken by many of the German stations; (2) apparently WPG (Atlantic City) received direct."
"BM/EXGQ","","","","","Copenhagen (Harmonica concert).","Copenhagen","Denmark","55.7","12.6","BM/EXGQ: Copenhagen (Harmonica concert)."
"Filament","","","","","We regret, but it is impossible to trace these short-wave transmissions unless the estimes of WL. is much more definite; apparently a short-wave U.S.A. station, but cannot say which.","","","","","Filament: We regret, but it is impossible to trace these short-wave transmissions unless the estimes of WL. is much more definite; apparently a short-wave U.S.A. station, but cannot say which."
