"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Britannic","Bradford","UK","53.8","-1.8","(36) Radio Toulouse,","Toulouse","France","43.6","1.4","Britannic (Bradford): (36) Radio Toulouse, (37) Frederikstad, relaying Oslo."
"Britannic","Bradford","UK","53.8","-1.8","(37) Frederikstad, relaying Oslo.","Fredrikstad","Norway","59.2","10.9","Britannic (Bradford): (36) Radio Toulouse, (37) Frederikstad, relaying Oslo."
"A. D. L. A.","Leicester","UK","52.6","-1.1","(1) Frederikstad, relaying Oslo (Beethoven recital from University Hall),","Fredrikstad","Norway","59.2","10.9","A. D. L. A. (Leicester): (1) Frederikstad, relaying Oslo (Beethoven recital from University Hall), (2) possibly Saeffle (252 m.) relaying Stockholm, (3) Gleiwitz, relaying Breslau, (4) possibly Bilbao (EAJ11) 420 m., (5) Bordeaux-Lafayette (419 m.). In answer to your last question, yes."
"A. D. L. A.","Leicester","UK","52.6","-1.1","(2) possibly Saeffle (252 m.) relaying Stockholm,","Säffle","Sweden","59.1","12.9","A. D. L. A. (Leicester): (1) Frederikstad, relaying Oslo (Beethoven recital from University Hall), (2) possibly Saeffle (252 m.) relaying Stockholm, (3) Gleiwitz, relaying Breslau, (4) possibly Bilbao (EAJ11) 420 m., (5) Bordeaux-Lafayette (419 m.). In answer to your last question, yes."
"A. D. L. A.","Leicester","UK","52.6","-1.1","(3) Gleiwitz, relaying Breslau,","Gliwice","Poland","50.3","18.7","A. D. L. A. (Leicester): (1) Frederikstad, relaying Oslo (Beethoven recital from University Hall), (2) possibly Saeffle (252 m.) relaying Stockholm, (3) Gleiwitz, relaying Breslau, (4) possibly Bilbao (EAJ11) 420 m., (5) Bordeaux-Lafayette (419 m.). In answer to your last question, yes."
"A. D. L. A.","Leicester","UK","52.6","-1.1","(4) possibly Bilbao (EAJ11) 420 m.,","Bilbao","Spain","43.3","-2.9","A. D. L. A. (Leicester): (1) Frederikstad, relaying Oslo (Beethoven recital from University Hall), (2) possibly Saeffle (252 m.) relaying Stockholm, (3) Gleiwitz, relaying Breslau, (4) possibly Bilbao (EAJ11) 420 m., (5) Bordeaux-Lafayette (419 m.). In answer to your last question, yes."
"A. D. L. A.","Leicester","UK","52.6","-1.1","(5) Bordeaux-Lafayette (419 m.).","Bordeaux","France","44.8","-0.6","A. D. L. A. (Leicester): (1) Frederikstad, relaying Oslo (Beethoven recital from University Hall), (2) possibly Saeffle (252 m.) relaying Stockholm, (3) Gleiwitz, relaying Breslau, (4) possibly Bilbao (EAJ11) 420 m., (5) Bordeaux-Lafayette (419 m.). In answer to your last question, yes."
"Hispano-Suiza","","","","","(1) Stettin (new transmitter on about 237 m. relaying Berlin).","Szczecin","Poland","53.4","14.6","Hispano-Suiza: (1) Stettin (new transmitter on about 237 m. relaying Berlin)."
"Solodyne 4","","","","","(2) Sorö, relaying Copenhagen,","Sorø","Denmark","55.4","11.6","Solodyne 4: (2) Sorö, relaying Copenhagen, (3) Karlsborg, relaying Stockholm."
"Solodyne 4","","","","","(3) Karlsborg, relaying Stockholm.","Karlsborg","Sweden","58.5","14.5","Solodyne 4: (2) Sorö, relaying Copenhagen, (3) Karlsborg, relaying Stockholm."
"3 CF/13 SP","Wandsworth","UK","51.5","-0.2","(1) Zurich (about 546 m.),","Zurich","Switzerland","47.4","8.5","3 CF/13 SP (Wandsworth): (1) Zurich (about 546 m.), (2) rather vague, but possibly Bilbao (EAJ11) 420 m., (3) if between 470 and 480 m., PTT Lyons, relaying PTT Paris (dance music from Coliseum, Paris), but Berlin (483 m.) was also giving dance music at that time, (4) Naples (333 m.) relay from Theatre St. Carlo."
"3 CF/13 SP","Wandsworth","UK","51.5","-0.2","(2) rather vague, but possibly Bilbao (EAJ11) 420 m.,","Bilbao","Spain","43.3","-2.9","3 CF/13 SP (Wandsworth): (1) Zurich (about 546 m.), (2) rather vague, but possibly Bilbao (EAJ11) 420 m., (3) if between 470 and 480 m., PTT Lyons, relaying PTT Paris (dance music from Coliseum, Paris), but Berlin (483 m.) was also giving dance music at that time, (4) Naples (333 m.) relay from Theatre St. Carlo."
