"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Tetratube","Dublin","Ireland","53.3","-6.3","(1) Vienna","Vienna","Austria","48.2","16.4","Tetratube (Dublin): (1) Vienna, (2) Oslo, (3) Munich (Café Three Valves: Muenster, relay of Dortmund."
"Tetratube","Dublin","Ireland","53.3","-6.3","(2) Oslo","Oslo","Norway","59.9","10.8","Tetratube (Dublin): (1) Vienna, (2) Oslo, (3) Munich (Café Three Valves: Muenster, relay of Dortmund."
"Tetratube","Dublin","Ireland","53.3","-6.3","(3) Munich (Café Three Valves: Muenster, relay of Dortmund.","Munich","Germany","48.1","11.6","Tetratube (Dublin): (1) Vienna, (2) Oslo, (3) Munich (Café Three Valves: Muenster, relay of Dortmund."
"J. Ablett","Liverpool","UK","53.4","-3.0","WL. apparently wrong, unless amateur transmission.","","","","","J. Ablett (Liverpool): WL. apparently wrong, unless amateur transmission."
"Inquisitor","","","","","Are you sure of WL? ; this tallies with Breslau.","Breslau","Germany","51.1","17.0","Inquisitor: Are you sure of WL? ; this tallies with Breslau."
"R. P. L/NB","Ilford","UK","51.6","0.1","(1) Hanover","Hanover","Germany","52.4","9.7","R. P. L/NB (Ilford): (1) Hanover, (2) no time given, (3) Dresden."
"R. P. L/NB","Ilford","UK","51.6","0.1","(2) no time given","","","","","R. P. L/NB (Ilford): (1) Hanover, (2) no time given, (3) Dresden."
"R. P. L/NB","Ilford","UK","51.6","0.1","(3) Dresden","Dresden","Germany","51.0","13.7","R. P. L/NB (Ilford): (1) Hanover, (2) no time given, (3) Dresden."
"Compass","","","","","Regret, cannot trace.","","","","","Compass: Regret, cannot trace."
"Darkie","","","","","Breslau.","Breslau","Germany","51.1","17.0","Darkie: Breslau."
"The Society Four","","","","","Stuttgart.","Stuttgart","Germany","48.8","9.2","The Society Four: Stuttgart."
"Inquirer","Chatham","UK","51.4","0.5","Bremen, relay of Hamburg.","Bremen","Germany","53.1","8.8","Inquirer (Chatham): Bremen, relay of Hamburg."
"Charles","","","","","Probably Berlin (low wave transmitter).","Berlin","Germany","52.5","13.4","Charles: Probably Berlin (low wave transmitter)."
"Cedars","Didsbury","UK","53.4","-2.2","Karlsborg, relay of Stockholm.","Karlsborg","Sweden","58.5","14.5","Cedars (Didsbury): Karlsborg, relay of Stockholm."
"ABCXYZ","","","","","Moscow (RDW).","Moscow","Russia","55.8","37.6","ABCXYZ: Moscow (RDW)."
"Coil Pusher","","","","","Hanover (Café Continental).","Hanover","Germany","52.4","9.7","Coil Pusher: Hanover (Café Continental)."
"Worried","Enfield","UK","51.7","-0.1","Dublin.","Dublin","Ireland","53.3","-6.3","Worried (Enfield): Dublin."
"Amico","","","","","Stuttgart.","Stuttgart","Germany","48.8","9.2","Amico: Stuttgart."
"Rody","","","","","Berlin.","Berlin","Germany","52.5","13.4","Rody: Berlin."
"Mystery Set","","","","","Oslo.","Oslo","Norway","59.9","10.8","Mystery Set: Oslo."
"Tom-Tom","Burnley","UK","53.8","-2.2","Frankfurt-on-Main, relay of Berlin.","Frankfurt","Germany","50.1","8.7","Tom-Tom (Burnley): Frankfurt-on-Main, relay of Berlin."
"Frisk M/C","","","","","Berlin.","Berlin","Germany","52.5","13.4","Frisk M/C: Berlin."
"Rheostat","Bath","UK","51.4","-2.4","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Rheostat (Bath): Madrid (EAJ7)."
"Early Bird","Finchley","UK","51.6","-0.2","WBZ (Springfield), 333 m.","Springfield","USA","42.1","-72.6","Early Bird (Finchley): WBZ (Springfield), 333 m."
"Stanley","","","","","Hilversum.","Hilversum","Netherlands","52.2","5.2","Stanley: Hilversum."
"Radio Bug","Wigan","UK","53.5","-2.6","(1) Hilversum","Hilversum","Netherlands","52.2","5.2","Radio Bug (Wigan): (1) Hilversum, (2) WL. too vague, cannot trace."
"Radio Bug","Wigan","UK","53.5","-2.6","(2) WL. too vague, cannot trace.","","","","","Radio Bug (Wigan): (1) Hilversum, (2) WL. too vague, cannot trace."
"N. B.","Middlesbrough","UK","54.6","-1.2","(1) Oslo","Oslo","Norway","59.9","10.8","N. B. (Middlesbrough): (1) Oslo, (2) Dublin, been Dublin."
"N. B.","Middlesbrough","UK","54.6","-1.2","(2) Dublin, been Dublin.","Dublin","Ireland","53.3","-6.3","N. B. (Middlesbrough): (1) Oslo, (2) Dublin, been Dublin."
"Zoraida","","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Zoraida: Madrid (EAJ7)."
"Tinker","Shettleston","UK","55.8","-4.2","WGY (Schenectady); P1., a.m. or p.m., : WL. too vague, cannot trace.","Schenectady","USA","42.8","-73.9","Tinker (Shettleston): WGY (Schenectady); P1., a.m. or p.m., : WL. too vague, cannot trace."
"Flute","","","","","Frankfort-on-Main.","Frankfurt","Germany","50.1","8.7","Flute: Frankfort-on-Main."
"Mac","Gloucester","UK","51.9","-2.2","Hanover, relay of Hamburg.","Hanover","Germany","52.4","9.7","Mac (Gloucester): Hanover, relay of Hamburg."
"(Forest Gate)","","","","","(1) Sorö, relay of Copenhagen","Sorö","Denmark","55.4","11.6","(Forest Gate): (1) Sorö, relay of Copenhagen, (2) Radio Toulouse testing on new WL, (3) Koenigswusterhausen (lecture)."
"(Forest Gate)","","","","","(2) Radio Toulouse testing on new WL","","","","","(Forest Gate): (1) Sorö, relay of Copenhagen, (2) Radio Toulouse testing on new WL, (3) Koenigswusterhausen (lecture)."
"(Forest Gate)","","","","","(3) Koenigswusterhausen (lecture)","Koenigswusterhausen","Germany","52.3","13.6","(Forest Gate): (1) Sorö, relay of Copenhagen, (2) Radio Toulouse testing on new WL, (3) Koenigswusterhausen (lecture)."
