"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Kilocycle","Middlesbrough","UK","54.6","-1.2","Phillips experimental transmitter Eindhoven (Holland).","Eindhoven","Netherlands","51.4","5.5","Kilocycle (Middlesbrough): Phillips experimental transmitter Eindhoven (Holland)."
"Billmac","","","","","(1) probably Le Bourget Aerodrome (France),","Paris","France","48.9","2.4","Billmac: (1) probably Le Bourget Aerodrome (France), (2) Belgrade (1,650 m.) testing."
"Billmac","","","","","(2) Belgrade (1,650 m.) testing.","Belgrade","Serbia","44.8","20.5","Billmac: (1) probably Le Bourget Aerodrome (France), (2) Belgrade (1,650 m.) testing."
"Careful","York","UK","53.9","-1.1","Motala, relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7/4, was altered to 8/4.","Motala","Sweden","58.5","15.0","Careful (York): Motala, relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7/4, was altered to 8/4."
"F.G.N.","Reading","UK","51.5","-0.9","Belgrade (1,650 m.) testing.","Belgrade","Serbia","44.8","20.5","F.G.N. (Reading): Belgrade (1,650 m.) testing."
"Abbeytonian","","","","","Radio España, Madrid (EAJ2).","Madrid","Spain","40.4","-3.7","Abbeytonian: Radio España, Madrid (EAJ2)."
"R.S.T.","Grantham","UK","52.9","-0.6","Surely Koenigswusterhausen relaying Berlin.","Königswusterhausen","Germany","52.3","13.6","R.S.T. (Grantham): Surely Koenigswusterhausen relaying Berlin."
"Derek","Guildford","UK","51.2","-0.6","Motala, relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7th inst. was altered to 8th.","Motala","Sweden","58.5","15.0","Derek (Guildford): Motala, relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7th inst. was altered to 8th."
"Parkin","Nottingham","UK","52.9","-1.2","(1) WL. must be wrong, cannot trace,","","","","Parkin (Nottingham): (1) WL. must be wrong, cannot trace, (2) if 2BC amateur (Manchester)."
"Parkin","Nottingham","UK","52.9","-1.2","(2) if 2BC amateur (Manchester).","Manchester","UK","53.5","-2.2","Parkin (Nottingham): (1) WL. must be wrong, cannot trace, (2) if 2BC amateur (Manchester)."
"3 Valver","Camborne","UK","50.2","-5.3","Motala, relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7th inst. was altered to 8th.","Motala","Sweden","58.5","15.0","3 Valver (Camborne): Motala, relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7th inst. was altered to 8th."
"Bill Eden","Devon","UK","50.7","-3.6","Radio España, Madrid (EAJ2).","Madrid","Spain","40.4","-3.7","Bill Eden (Devon): Radio España, Madrid (EAJ2)."
"Taffy","","","","","(1) Milan,","Milan","Italy","45.5","9.2","Taffy: (1) Milan, (2) Boden, relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7th inst. was altered to 8th, (3) Motala, (1,304 m.) relaying Stockholm."
"Taffy","","","","","(2) Boden, relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7th inst. was altered to 8th,","Boden","Sweden","65.8","21.7","Taffy: (1) Milan, (2) Boden, relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7th inst. was altered to 8th, (3) Motala, (1,304 m.) relaying Stockholm."
"Taffy","","","","","(3) Motala, (1,304 m.) relaying Stockholm.","Motala","Sweden","58.5","15.0","Taffy: (1) Milan, (2) Boden, relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7th inst. was altered to 8th, (3) Motala, (1,304 m.) relaying Stockholm."
"Eral","Manchester","UK","53.5","-2.2","Item not given in programmes, but presumably Hamburg, relay from Café Wallhof at that city.","Hamburg","Germany","53.6","10.0","Eral (Manchester): Item not given in programmes, but presumably Hamburg, relay from Café Wallhof at that city."
"R 3","Hexham","UK","54.9","-2.1","(1) Motala (1,304 m.) relaying Stockholm,","Motala","Sweden","58.5","15.0","R 3 (Hexham): (1) Motala (1,304 m.) relaying Stockholm, (2) Boden (1,200 m.) relaying Stockholm, The Flying Dutchman (Wagner). Programme advertised for 7th inst. was altered to 8th. Kovno."
