"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Chemico","","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Chemico: Madrid (EAJ7)."
"Four Valve","Newcastle","UK","54.9","-1.6","Hilversum.","Hilversum","Netherlands","52.2","5.1","Four Valve (Newcastle): Hilversum."
"Miffy","","","","","Madrid (EAJ6).","Madrid","Spain","40.4","-3.7","Miffy: Madrid (EAJ6)."
"Archie","Broadway, Worcs.","UK","52.0","-1.9","Barcelona (EAJ13).","Barcelona","Spain","41.4","2.2","Archie (Broadway, Worcs.): Barcelona (EAJ13)."
"Neutrophase IV","Birmingham","UK","52.5","-1.9","(8) Hilversum (hospital hour);","Hilversum","Netherlands","52.2","5.1","Neutrophase IV (Birmingham): (8) Hilversum (hospital hour); (9) Karlsborg, relay of Stockholm (National Day Festival); (10) Lyons, relay of PTT, Paris; (11) Breslau, relay of Berlin; (12) Dortmund (own programme); (13) Koenigswusterhausen (Press); (14) Berlin (Telegraphen Union) throughout day; (15) no French station on this WL., was not this Antwerp? (16) cannot trace; WL. apparently wrong; (17) Oslo (news); (18) London (Farewell Service at the Foundling Hospital, London) (19) Elberfeld, relay of Dortmund."
"Neutrophase IV","Birmingham","UK","52.5","-1.9","(9) Karlsborg, relay of Stockholm (National Day Festival);","Stockholm","Sweden","59.3","18.1","Neutrophase IV (Birmingham): (8) Hilversum (hospital hour); (9) Karlsborg, relay of Stockholm (National Day Festival); (10) Lyons, relay of PTT, Paris; (11) Breslau, relay of Berlin; (12) Dortmund (own programme); (13) Koenigswusterhausen (Press); (14) Berlin (Telegraphen Union) throughout day; (15) no French station on this WL., was not this Antwerp? (16) cannot trace; WL. apparently wrong; (17) Oslo (news); (18) London (Farewell Service at the Foundling Hospital, London) (19) Elberfeld, relay of Dortmund."
"Neutrophase IV","Birmingham","UK","52.5","-1.9","(10) Lyons, relay of PTT, Paris;","Paris","France","48.9","2.4","Neutrophase IV (Birmingham): (8) Hilversum (hospital hour); (9) Karlsborg, relay of Stockholm (National Day Festival); (10) Lyons, relay of PTT, Paris; (11) Breslau, relay of Berlin; (12) Dortmund (own programme); (13) Koenigswusterhausen (Press); (14) Berlin (Telegraphen Union) throughout day; (15) no French station on this WL., was not this Antwerp? (16) cannot trace; WL. apparently wrong; (17) Oslo (news); (18) London (Farewell Service at the Foundling Hospital, London) (19) Elberfeld, relay of Dortmund."
"Neutrophase IV","Birmingham","UK","52.5","-1.9","(11) Breslau, relay of Berlin;","Berlin","Germany","52.5","13.4","Neutrophase IV (Birmingham): (8) Hilversum (hospital hour); (9) Karlsborg, relay of Stockholm (National Day Festival); (10) Lyons, relay of PTT, Paris; (11) Breslau, relay of Berlin; (12) Dortmund (own programme); (13) Koenigswusterhausen (Press); (14) Berlin (Telegraphen Union) throughout day; (15) no French station on this WL., was not this Antwerp? (16) cannot trace; WL. apparently wrong; (17) Oslo (news); (18) London (Farewell Service at the Foundling Hospital, London) (19) Elberfeld, relay of Dortmund."
"Neutrophase IV","Birmingham","UK","52.5","-1.9","(12) Dortmund (own programme);","Dortmund","Germany","51.5","7.5","Neutrophase IV (Birmingham): (8) Hilversum (hospital hour); (9) Karlsborg, relay of Stockholm (National Day Festival); (10) Lyons, relay of PTT, Paris; (11) Breslau, relay of Berlin; (12) Dortmund (own programme); (13) Koenigswusterhausen (Press); (14) Berlin (Telegraphen Union) throughout day; (15) no French station on this WL., was not this Antwerp? (16) cannot trace; WL. apparently wrong; (17) Oslo (news); (18) London (Farewell Service at the Foundling Hospital, London) (19) Elberfeld, relay of Dortmund."
"Neutrophase IV","Birmingham","UK","52.5","-1.9","(13) Koenigswusterhausen (Press);","Koenigswusterhausen","Germany","52.3","13.6","Neutrophase IV (Birmingham): (8) Hilversum (hospital hour); (9) Karlsborg, relay of Stockholm (National Day Festival); (10) Lyons, relay of PTT, Paris; (11) Breslau, relay of Berlin; (12) Dortmund (own programme); (13) Koenigswusterhausen (Press); (14) Berlin (Telegraphen Union) throughout day; (15) no French station on this WL., was not this Antwerp? (16) cannot trace; WL. apparently wrong; (17) Oslo (news); (18) London (Farewell Service at the Foundling Hospital, London) (19) Elberfeld, relay of Dortmund."
"Neutrophase IV","Birmingham","UK","52.5","-1.9","(14) Berlin (Telegraphen Union) throughout day;","Berlin","Germany","52.5","13.4","Neutrophase IV (Birmingham): (8) Hilversum (hospital hour); (9) Karlsborg, relay of Stockholm (National Day Festival); (10) Lyons, relay of PTT, Paris; (11) Breslau, relay of Berlin; (12) Dortmund (own programme); (13) Koenigswusterhausen (Press); (14) Berlin (Telegraphen Union) throughout day; (15) no French station on this WL., was not this Antwerp? (16) cannot trace; WL. apparently wrong; (17) Oslo (news); (18) London (Farewell Service at the Foundling Hospital, London) (19) Elberfeld, relay of Dortmund."
