"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Ardesier Solodyne","","","","","A relay of Stockholm, believe Falun on lower WL.","Stockholm","Sweden","59.3","18.1","Ardesier Solodyne: A relay of Stockholm, believe Falun on lower WL."
"Ivanhoe","","","","","(1) WL too vague; cannot trace. Not necessarily Helsingfors, which may have been mentioned in news bulletin.","","","","","Ivanhoe: (1) WL too vague; cannot trace. Not necessarily Helsingfors, which may have been mentioned in news bulletin."
"Piper","Glasgow","UK","55.9","-4.3","Barcelona (EAJ1).","Barcelona","Spain","41.4","2.2","Piper (Glasgow): Barcelona (EAJ1)."
"Garden","Norbury","UK","51.4","-0.1","Rome.","Rome","Italy","41.9","12.5","Garden (Norbury): Rome."
"L. Ether","","","","","(2) Madrid (EAJ7) relaying Barcelona (EAJ1).","Madrid","Spain","40.4","-3.7","L. Ether: (2) Madrid (EAJ7) relaying Barcelona (EAJ1)."
"D.W.S.","","","","","(2) Naples (333.3 m.).","Naples","Italy","40.8","14.3","D.W.S.: (2) Naples (333.3 m.)."
"W. G. Morris","Bow","UK","51.5","-0.0","Yes, Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","W. G. Morris (Bow): Yes, Madrid (EAJ7)."
"Double","Austell","UK","50.3","-4.8","Probably Cork testing.","Cork","Ireland","51.9","-8.5","Double (Austell): Probably Cork testing."
"F. R. Bemmett","Romford","UK","51.6","0.2","(1) Yes, Barcelona (EAJ13) 460 m. PTT Paris is on about 464 m.","Barcelona","Spain","41.4","2.2","F. R. Bemmett (Romford): (1) Yes, Barcelona (EAJ13) 460 m. PTT Paris is on about 464 m.; (2) Must be Frankfort-on-Main (428 m.); no relay of that station higher than this WL; (3) too vague, could be one of the Spanish stations; (4) Prague (relaying to Brunn and Bratislava); (5) Kovno (15 kw.). Your calibration appears to be wrong."
"F. R. Bemmett","Romford","UK","51.6","0.2","(2) Must be Frankfort-on-Main (428 m.); no relay of that station higher than this WL.","Frankfurt am Main","Germany","50.1","8.7","F. R. Bemmett (Romford): (1) Yes, Barcelona (EAJ13) 460 m. PTT Paris is on about 464 m.; (2) Must be Frankfort-on-Main (428 m.); no relay of that station higher than this WL; (3) too vague, could be one of the Spanish stations; (4) Prague (relaying to Brunn and Bratislava); (5) Kovno (15 kw.). Your calibration appears to be wrong."
"F. R. Bemmett","Romford","UK","51.6","0.2","(3) too vague, could be one of the Spanish stations.","","","","","F. R. Bemmett (Romford): (1) Yes, Barcelona (EAJ13) 460 m. PTT Paris is on about 464 m.; (2) Must be Frankfort-on-Main (428 m.); no relay of that station higher than this WL; (3) too vague, could be one of the Spanish stations; (4) Prague (relaying to Brunn and Bratislava); (5) Kovno (15 kw.). Your calibration appears to be wrong."
"F. R. Bemmett","Romford","UK","51.6","0.2","(4) Prague (relaying to Brunn and Bratislava).","Prague","Czech Republic","50.1","14.4","F. R. Bemmett (Romford): (1) Yes, Barcelona (EAJ13) 460 m. PTT Paris is on about 464 m.; (2) Must be Frankfort-on-Main (428 m.); no relay of that station higher than this WL; (3) too vague, could be one of the Spanish stations; (4) Prague (relaying to Brunn and Bratislava); (5) Kovno (15 kw.). Your calibration appears to be wrong."
