"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Night Hawk","Brighton","UK","50.8","-0.1","Motala, relaying English lesson from Stockholm, followed at 7 p.m. G.M.T. by time signal.","Motala","Sweden","58.9","15.1","Night Hawk (Brighton): Motala, relaying English lesson from Stockholm, followed at 7 p.m. G.M.T. by time signal."
"C.G.T.","Norwich","UK","52.6","1.3","Yes, your details would tally with the Langenberg programme; also relayed by Dortmund and Muenster.","Langenberg","Germany","51.3","7.1","C.G.T. (Norwich): Yes, your details would tally with the Langenberg programme; also relayed by Dortmund and Muenster."
"PPV.2.","Slateford","UK","55.9","-3.3","Dresden, relaying organ recital from the University Church at Leipzig.","Dresden","Germany","51.1","13.7","PPV.2. (Slateford): Dresden, relaying organ recital from the University Church at Leipzig."
"Moll","Ballymoney","UK","55.1","-6.5","Koenigs Wusterhausen.","Königs Wusterhausen","Germany","52.3","13.6","Moll (Ballymoney): Koenigs Wusterhausen. On December 3: English lesson. December 4: relaying Berlin. Orchestral concert and recitations."
"Moll","Ballymoney","UK","55.1","-6.5","On December 3: English lesson.","Königs Wusterhausen","Germany","52.3","13.6","Moll (Ballymoney): Koenigs Wusterhausen. On December 3: English lesson. December 4: relaying Berlin. Orchestral concert and recitations."
"Moll","Ballymoney","UK","55.1","-6.5","December 4: relaying Berlin. Orchestral concert and recitations.","Berlin","Germany","52.5","13.4","Moll (Ballymoney): Koenigs Wusterhausen. On December 3: English lesson. December 4: relaying Berlin. Orchestral concert and recitations."
"A. Crofts","London","UK","51.5","-0.1","Barcelona (EAJ13).","Barcelona","Spain","41.4","2.2","A. Crofts (N.1): Barcelona (EAJ13)."
"Xerxes","Devonport","UK","50.4","-4.2","Kalundborg, relaying dance music from the Restaurant Nimb at Copenhagen. Chimes from the Town Hall at midnight (11 p.m. G.M.T.).","Kalundborg","Denmark","55.7","11.1","Xerxes (Devonport): Kalundborg, relaying dance music from the Restaurant Nimb at Copenhagen. Chimes from the Town Hall at midnight (11 p.m. G.M.T.)."
"A.J.M. Zenith","","","","","Frankfurt-on-Main, dance music until 11.30 p.m. G.M.T. Yes, the German National Anthem is played to the melody of the old Austrian hymn, of which the music is by Haydn.","Frankfurt am Main","Germany","50.1","8.7","A.J.M. Zenith: Frankfurt-on-Main, dance music until 11.30 p.m. G.M.T. Yes, the German National Anthem is played to the melody of the old Austrian hymn, of which the music is by Haydn."
"Gold Dawn","Southampton","UK","50.9","-1.4","U.S.A. station - possibly WPG (Atlantic City).","Atlantic City","USA","39.4","-74.4","Gold Dawn (Southampton): U.S.A. station - possibly WPG (Atlantic City)."
"J.C. Armstrong","Godalming","UK","51.2","-0.6","Langenberg, possibly gramophone records between opera and broadcast.","Langenberg","Germany","51.3","7.1","J.C. Armstrong (Godalming): Langenberg, possibly gramophone records between opera and broadcast."
"Verah","Southall","UK","51.5","-0.4","2YZ, Western Electric experimental station at North Woolwich.","London","UK","51.5","0.1","Verah (Southall): 2YZ, Western Electric experimental station at North Woolwich."
