"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"neville","Newcastle-on-Tyne","UK","54.9","-1.6","Munich.","Munich","Germany","48.1","11.6","neville (Newcastle-on-Tyne): Munich."
"Ethodyne","Brighton","UK","50.8","-0.1","Stuttgart.","Stuttgart","Germany","48.8","9.2","Ethodyne (Brighton): Stuttgart."
"W.W.W.","","","","","Estimated WL much too vague; so many German stations covered.","","","","","W.W.W.: (1) Estimated WL much too vague; so many German stations covered; (2) PTT, Paris; (3) Madrid (EAJ6)."
"W.W.W.","","","","","PTT, Paris.","Paris","France","48.9","2.4","W.W.W.: (1) Estimated WL much too vague; so many German stations covered; (2) PTT, Paris; (3) Madrid (EAJ6)."
"W.W.W.","","","","","Madrid (EAJ6).","Madrid","Spain","40.4","-3.7","W.W.W.: (1) Estimated WL much too vague; so many German stations covered; (2) PTT, Paris; (3) Madrid (EAJ6)."
"Bessbrough","","","","","PTT Toulouse, relay of Paris.","Toulouse","France","43.6","1.4","Bessbrough: PTT Toulouse, relay of Paris."
"Garrotes","","","","","Details vague, presumably Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Garrotes: Details vague, presumably Madrid (EAJ7)."
"Hawes","Upwell","UK","52.5","0.2","No time given.","","","","","Hawes (Upwell): No time given."
"P.K.","Warrington","UK","53.4","-2.6","Cadiz.","Cadiz","Spain","36.5","-6.3","P.K. (Warrington): Cadiz."
"Merry and Bright","","","","","Frankfort-on-Main.","Frankfurt","Germany","50.1","8.7","Merry and Bright: (1) Frankfort-on-Main; (2) Barcelona (EAJ13); (3) WEAF (New York)."
"Merry and Bright","","","","","Barcelona (EAJ13).","Barcelona","Spain","41.4","2.2","Merry and Bright: (1) Frankfort-on-Main; (2) Barcelona (EAJ13); (3) WEAF (New York)."
"Merry and Bright","","","","","WEAF (New York).","New York","USA","40.7","-74.0","Merry and Bright: (1) Frankfort-on-Main; (2) Barcelona (EAJ13); (3) WEAF (New York)."
