"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"A.J.S.","Street","","","","No doubt an American station, but as you give no WL, we cannot trace; possibly WGY (Schenectady).","Schenectady","USA","42.8","-73.9","A.J.S. (Street): No doubt an American station, but as you give no WL, we cannot trace; possibly WGY (Schenectady)."
"Banjo","","","","","Posen, giving election results (gramophone records in the intervals).","Posen","Poland","","","Banjo: Posen, giving election results (gramophone records in the intervals)."
"3 Valve","Malton","UK","54.1","-0.8","Motala (now on 1,380 m.) relaying dance music from Stockholm until 10.15 p.m. G.M.T.","Motala","Sweden","58.5","15.0","3 Valve (Malton): Motala (now on 1,380 m.) relaying dance music from Stockholm until 10.15 p.m. G.M.T."
"Searcher","Lurgan","UK","54.5","-6.3","Possibly Kalundborg, working later than advertised in programme.","Kalundborg","Denmark","55.7","11.1","Searcher (Lurgan): Possibly Kalundborg, working later than advertised in programme."
"Novice","","","","","Kalundborg, relaying Copenhagen. A relay of foreign stations including 5GB.","Kalundborg","Denmark","55.7","11.1","Novice: Kalundborg, relaying Copenhagen. A relay of foreign stations including 5GB."
"Screened Grid","Leeds","UK","53.8","-1.5","Kattowitz and Posen giving election results with gramophone records in the intervals.","Kattowitz","Poland","","","Screened Grid (Leeds): Kattowitz and Posen giving election results with gramophone records in the intervals."
"Screened Grid","Leeds","UK","53.8","-1.5","Kattowitz and Posen giving election results with gramophone records in the intervals.","Posen","Poland","","","Screened Grid (Leeds): Kattowitz and Posen giving election results with gramophone records in the intervals."
"Pip","Chatham","UK","51.4","0.5","(1) Yes, this tallies with the transmission; (2) Yes, Posen.","Posen","Poland","","","Pip (Chatham): (1) Yes, this tallies with the transmission; (2) Yes, Posen."
"Gamma","Southend-on-Sea","UK","51.5","0.7","Warsaw.","Warsaw","Poland","52.2","21.0","Gamma (Southend-on-Sea): Warsaw."
"Sir Toby","Yorks.","UK","","","Posen and Kattowitz broadcasting election results (gramophone records in the intervals).","Posen","Poland","","","Sir Toby (Yorks.): Posen and Kattowitz broadcasting election results (gramophone records in the intervals)."
"Sir Toby","Yorks.","UK","","","Posen and Kattowitz broadcasting election results (gramophone records in the intervals).","Kattowitz","Poland","","","Sir Toby (Yorks.): Posen and Kattowitz broadcasting election results (gramophone records in the intervals)."
"S.D. Ingham","Bradford","UK","53.8","-1.8","Kalundborg, relaying Copenhagen (a relay of foreign stations including 5GB) see programme for latter station in World-Radio.","Kalundborg","Denmark","55.7","11.1","S.D. Ingham (Bradford): Kalundborg, relaying Copenhagen (a relay of foreign stations including 5GB) see programme for latter station in World-Radio."
"Wireless Wauchope","Burntisland","UK","56.1","-3.2","We know of no French station on this WL, but possibly one of the PTT relays may have made some relays; we are investigating.","","","","","Wireless Wauchope (Burntisland): We know of no French station on this WL, but possibly one of the PTT relays may have made some relays; we are investigating."
"3WHV","40 and 41","","","","Fog whistles GGG, Round Island Lighthouse, Scilly Isles; GGM, Bar Lightship (Mersey).","","","","","3WHV (40 and 41): Fog whistles GGG, Round Island Lighthouse, Scilly Isles; GGM, Bar Lightship (Mersey)."
"W.I.S.","Liverpool","UK","53.4","-3.0","Yes, WGY (Schenectady) received direct.","Schenectady","USA","42.8","-73.9","W.I.S. (Liverpool): Yes, WGY (Schenectady) received direct."
"Enos","Radstock","UK","51.3","-2.4","Bremen, relaying Hamburg (a relay of foreign stations); see programme for the latter station in World-Radio.","Bremen","Germany","53.1","8.8","Enos (Radstock): Bremen, relaying Hamburg (a relay of foreign stations); see programme for the latter station in World-Radio."
"Amorphous Q","Taunton","UK","51.0","-3.1","2XG, Rocky Point, Long Island, New York; this station works on wavelengths varying from 16–40 m.","Rocky Point","USA","40.9","-72.9","Amorphous Q (Taunton): 2XG, Rocky Point, Long Island, New York; this station works on wavelengths varying from 16–40 m."
"M.J.N.","Oldham","UK","53.5","-2.1","Kaiserslautern (204.1 m.) relaying The Merry Wives of Windsor (Nicolai) from the National Theatre at Munich.","Kaiserslautern","Germany","49.4","7.8","M.J.N. (Oldham): Kaiserslautern (204.1 m.) relaying The Merry Wives of Windsor (Nicolai) from the National Theatre at Munich."
