"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Amateur","","","","","Brussels.","Brussels","Belgium","50.8","4.3","Amateur: Brussels."
"Titch","","","","","Koenigsberg (Nov. 7).","Koenigsberg","Germany","54.7","20.5","Titch: Koenigsberg (Nov. 7)."
"Pottervite","","","","","Madrid (R. Castilla).","Madrid","Spain","40.4","-3.7","Pottervite: Madrid (R. Castilla)."
"Super-Het","","","","","Bremen (relaying Hamburg).","Hamburg","Germany","53.5","10.0","Super-Het: Bremen (relaying Hamburg)."
"Phono","","","","","Malmoe (relaying Stockholm).","Stockholm","Sweden","59.3","18.1","Phono: Malmoe (relaying Stockholm)."
"Carbon","","","","","Malmoe.","Malmoe","Sweden","55.6","13.0","Carbon: Malmoe."
"Lutheran","","","","","Malmoe.","Malmoe","Sweden","55.6","13.0","Lutheran: Malmoe."
"Two-Valver","","","","","Nuremberg (relaying Munich).","Munich","Germany","48.1","11.6","Two-Valver: Nuremberg (relaying Munich)."
"Worthing","","","","","Koenigsberg (Nov. 7).","Koenigsberg","Germany","54.7","20.5","Worthing: Koenigsberg (Nov. 7), Koenigs Wusterhausen (Nov. 8) - opera ""Tiefland."""
"Worthing","","","","","Koenigs Wusterhausen (Nov. 8) - opera ""Tiefland.""","Koenigs Wusterhausen","Germany","52.3","13.6","Worthing: Koenigsberg (Nov. 7), Koenigs Wusterhausen (Nov. 8) - opera ""Tiefland."""
"Gridleak","","","","","Hamburg.","Hamburg","Germany","53.5","10.0","Gridleak: Hamburg."
"Eeceebee","","","","","Hilversum.","Hilversum","Netherlands","52.2","5.2","Eeceebee: Hilversum."
"Twin-valve","","","","","Kbely 1150m. (German programme).","Kbely","Czech Republic","50.1","14.5","Twin-valve: Kbely 1150m. (German programme)."
"Mark O. Nee","","","","","Probably Oslo.","Oslo","Norway","59.9","10.8","Mark O. Nee: Probably Oslo."
"G.F.L.","Bradford","UK","53.8","-1.8","Yes; Hilversum relay of The Hague.","Hilversum","Netherlands","52.2","5.2","G.F.L. (Bradford): Yes; Hilversum relay of The Hague."
"Puzzled","Stroud","UK","51.7","-2.2","P.T.T. Paris.","Paris","France","48.9","2.4","Puzzled (Stroud): P.T.T. Paris."
"N.D.P.","Smethwick","UK","52.5","-1.9","E.A.J.4 Madrid (R. Castilla).","Madrid","Spain","40.4","-3.7","N.D.P. (Smethwick): E.A.J.4 Madrid (R. Castilla)."
"Distant Radio","","","","","Koenigswusterhausen (either 4000m. or 2950m.).","Koenigswusterhausen","Germany","52.3","13.6","Distant Radio: Koenigswusterhausen (either 4000m. or 2950m.)."
"R.J.","Dunfermline","UK","56.1","-3.4","San Sebastian (E.A.J.8).","San Sebastian","Spain","43.3","-1.9","R.J. (Dunfermline): San Sebastian (E.A.J.8)."
"Oojah","","","","","E.A.J.4 Madrid (R. Castilla).","Madrid","Spain","40.4","-3.7","Oojah: E.A.J.4 Madrid (R. Castilla)."
"Tuned Anode","","","","","E.A.J.6 Madrid (R. Iberica).","Madrid","Spain","40.4","-3.7","Tuned Anode: E.A.J.6 Madrid (R. Iberica)."
"Sabrina","","","","","New Hamburg station testing (call).","Hamburg","Germany","53.5","10.0","Sabrina: New Hamburg station testing (call)."
"Gay Blondel","","","","","Cannot trace.","","","","","Gay Blondel: Cannot trace."
"W.R.P.","Newport","UK","51.6","-2.9","San Sebastian (E.A.J.8).","San Sebastian","Spain","43.3","-1.9","W.R.P. (Newport): San Sebastian (E.A.J.8)."
"Ariel","Sheffield","UK","53.4","-1.5","San Sebastian (E.A.J.8).","San Sebastian","Spain","43.3","-1.9","Ariel (Sheffield): San Sebastian (E.A.J.8)."
"Upminster","","","","","Vienna.","Vienna","Austria","48.2","16.4","Upminster: Vienna."
"Information Seeker","","","","","Ryvang.","Ryvang","Denmark","55.7","12.6","Information Seeker: Ryvang."
