"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"3 Valves","Malton","UK","54.1","-0.8","Yes, Motala relaying special Church service from the Waesteraser Cathedral.","Motala","Sweden","58.5","15.0","3 Valves (Malton): Yes, Motala relaying special Church service from the Waesteraser Cathedral."
"M. Four","","","","","(1) Milan, orchestral concert followed by relay of dance music from the Fiaschieria Toscana","Milan","Italy","45.5","9.2","M. Four: (1) Milan, orchestral concert followed by relay of dance music from the Fiaschieria Toscana, (2) Motala relaying dance music from Stockholm until 1.15 a.m., June 24, 1927."
"M. Four","","","","","(2) Motala relaying dance music from Stockholm until 1.15 a.m., June 24, 1927.","Motala","Sweden","58.5","15.0","M. Four: (1) Milan, orchestral concert followed by relay of dance music from the Fiaschieria Toscana, (2) Motala relaying dance music from Stockholm until 1.15 a.m., June 24, 1927."
"Safety","Bexhill","UK","50.8","0.5","This is PTT Paris (Ecole Supérieure des Postes et Télégraphes).","Paris","France","48.9","2.4","Safety (Bexhill): This is PTT Paris (Ecole Supérieure des Postes et Télégraphes)."
"4116910","Southsea","UK","50.8","-1.1","(1) Eiffel Tower relaying afternoon concert from PTT Paris; from 6.45 p.m., its own entertainment","Paris","France","48.9","2.4","4116910 (Southsea): (1) Eiffel Tower relaying afternoon concert from PTT Paris; from 6.45 p.m., its own entertainment, (2) Yes, Berlin Press, (3) Radio-Paris."
"4116910","Southsea","UK","50.8","-1.1","(2) Yes, Berlin Press","Berlin","Germany","52.5","13.4","4116910 (Southsea): (1) Eiffel Tower relaying afternoon concert from PTT Paris; from 6.45 p.m., its own entertainment, (2) Yes, Berlin Press, (3) Radio-Paris."
"4116910","Southsea","UK","50.8","-1.1","(3) Radio-Paris.","Paris","France","48.9","2.4","4116910 (Southsea): (1) Eiffel Tower relaying afternoon concert from PTT Paris; from 6.45 p.m., its own entertainment, (2) Yes, Berlin Press, (3) Radio-Paris."
"2VHV","","","","","(81): Nuremberg relaying orchestral concert of the works of Weber from Munich","Nuremberg","Germany","49.5","11.1","2VHV (81): Nuremberg relaying orchestral concert of the works of Weber from Munich, (82) Langenberg relaying orchestral concert from the Rheinterrasse, Düsseldorf, until midnight."
"2VHV","","","","","(82) Langenberg relaying orchestral concert from the Rheinterrasse, Düsseldorf, until midnight.","Langenberg","Germany","51.3","7.1","2VHV (81): Nuremberg relaying orchestral concert of the works of Weber from Munich, (82) Langenberg relaying orchestral concert from the Rheinterrasse, Düsseldorf, until midnight."
"Don","Sebastopol","UK","50.2","-5.3","5GB B.B.C. experimental station at Daventry.","Daventry","UK","52.3","-1.2","Don (Sebastopol): 5GB B.B.C. experimental station at Daventry."
"Pixie","Crawley","UK","51.1","-0.2","Eiffel Tower, relaying PTT Paris. English talk, followed by news.","Paris","France","48.9","2.4","Pixie (Crawley): Eiffel Tower, relaying PTT Paris. English talk, followed by news."
"Silverside","","","","","Falun relaying dance music from Stockholm until 1.15 a.m., June 24, 1917.","Falun","Sweden","60.6","15.6","Silverside: Falun relaying dance music from Stockholm until 1.15 a.m., June 24, 1917."
"L. Gay","Bath","UK","51.4","-2.4","Dublin relaying Cork. Call: “Baile Atha Cliath, ag Glaochach” (pronounced: egg Glay-ock). This you may have mistaken for “9 o’clock.”","Dublin","Ireland","53.3","-6.3","L. Gay (Bath): Dublin relaying Cork. Call: “Baile Atha Cliath, ag Glaochach” (pronounced: egg Glay-ock). This you may have mistaken for “9 o’clock.”"
"Cosy","Edinburgh","UK","55.9","-3.2","Naples relaying concert from the Trocadero Music Hall.","Naples","Italy","40.8","14.3","Cosy (Edinburgh): Naples relaying concert from the Trocadero Music Hall."
"M. A. Richmond","Llanelly","UK","51.7","-4.2","Yes, this was Motala (1,320 m.). The military concert from Göteborg was postponed to 8.15 p.m., and the entertainment you heard was from Stockholm.","Motala","Sweden","58.5","15.0","M. A. Richmond (Llanelly): Yes, this was Motala (1,320 m.). The military concert from Göteborg was postponed to 8.15 p.m., and the entertainment you heard was from Stockholm."
"E. S. M. 3 V.","Stoke-on-Trent","UK","53.0","-2.2","(1) Frankfort-on-Main (428 m.) (20/6) News, (21/6) The Bird Fancier, an operetta by Karl Zeller","Frankfurt am Main","Germany","50.1","8.7","E. S. M. 3 V. (Stoke-on-Trent): (1) Frankfort-on-Main (428 m.) (20/6) News, (21/6) The Bird Fancier, an operetta by Karl Zeller, (2) If WL correct, Barcelona (EAJ13), (3) WL. must be wrong; Leipzig (relayed by Dresden) was the only German station giving dance music on that night."
"E. S. M. 3 V.","Stoke-on-Trent","UK","53.0","-2.2","(2) If WL correct, Barcelona (EAJ13)","Barcelona","Spain","41.4","2.2","E. S. M. 3 V. (Stoke-on-Trent): (1) Frankfort-on-Main (428 m.) (20/6) News, (21/6) The Bird Fancier, an operetta by Karl Zeller, (2) If WL correct, Barcelona (EAJ13), (3) WL. must be wrong; Leipzig (relayed by Dresden) was the only German station giving dance music on that night."
"E. S. M. 3 V.","Stoke-on-Trent","UK","53.0","-2.2","(3) WL. must be wrong; Leipzig (relayed by Dresden) was the only German station giving dance music on that night.","Leipzig","Germany","51.3","12.4","E. S. M. 3 V. (Stoke-on-Trent): (1) Frankfort-on-Main (428 m.) (20/6) News, (21/6) The Bird Fancier, an operetta by Karl Zeller, (2) If WL correct, Barcelona (EAJ13), (3) WL. must be wrong; Leipzig (relayed by Dresden) was the only German station giving dance music on that night."
"3 Wave","Surbiton","UK","51.4","-0.3","Yes, Lyons PTT relaying PTT Paris.","Lyon","France","45.8","4.8","3 Wave (Surbiton): Yes, Lyons PTT relaying PTT Paris."
"H. E. Potter","Malton","UK","54.1","-0.8","On June 28, 29, and 30, Koenigswusterhausen, Berlin, Langenberg, and Stuttgart broadcast a programme of gramophone records from 4.30 to 7.30 a.m. You heard Stuttgart and Koenigswusterhausen.","Stuttgart","Germany","48.8","9.2","H. E. Potter (Malton), Jacko (Chesterfield): On June 28, 29, and 30, Koenigswusterhausen, Berlin, Langenberg, and Stuttgart broadcast a programme of gramophone records from 4.30 to 7.30 a.m. You heard Stuttgart and Koenigswusterhausen. See Eclipse list of foreign transmissions in World-Radio, issue 24/6/’27, No. 100."
"Jacko","Chesterfield","UK","53.2","-1.4","On June 28, 29, and 30, Koenigswusterhausen, Berlin, Langenberg, and Stuttgart broadcast a programme of gramophone records from 4.30 to 7.30 a.m. You heard Stuttgart and Koenigswusterhausen.","Stuttgart","Germany","48.8","9.2","H. E. Potter (Malton), Jacko (Chesterfield): On June 28, 29, and 30, Koenigswusterhausen, Berlin, Langenberg, and Stuttgart broadcast a programme of gramophone records from 4.30 to 7.30 a.m. You heard Stuttgart and Koenigswusterhausen. See Eclipse list of foreign transmissions in World-Radio, issue 24/6/’27, No. 100."
"Listener","Newport","UK","52.8","-2.4","2NI, amateur Bootle, Lancs.","Bootle","UK","53.5","-3.0","Listener (Newport, Salop): 2NI, amateur Bootle, Lancs."
"F. C. Payne","Hastings","UK","50.9","0.6","(1) 2XG, Rocky Point, New York","Rocky Point","USA","40.9","-72.9","F. C. Payne (Hastings): (1) 2XG, Rocky Point, New York; (2) 2XAF, General Electric Company, Schenectady, New York."
"F. C. Payne","Hastings","UK","50.9","0.6","(2) 2XAF, General Electric Company, Schenectady, New York.","Schenectady","USA","42.8","-73.9","F. C. Payne (Hastings): (1) 2XG, Rocky Point, New York; (2) 2XAF, General Electric Company, Schenectady, New York."
"Tadcarwen","Caernarvon","UK","53.1","-4.3","(1) Yes, this was Warsaw News, followed by a relay of dance music from the Restaurant Rydz","Warsaw","Poland","52.2","21.0","Tadcarwen (Caernarvon): (1) Yes, this was Warsaw News, followed by a relay of dance music from the Restaurant Rydz; (2) Yes, Sorö, which was relaying dance music from the Restaurant Nimb until 12.30 a.m., 27/6/'27."
"Tadcarwen","Caernarvon","UK","53.1","-4.3","(2) Yes, Sorö, which was relaying dance music from the Restaurant Nimb until 12.30 a.m., 27/6/'27.","Sorø","Denmark","55.4","11.6","Tadcarwen (Caernarvon): (1) Yes, this was Warsaw News, followed by a relay of dance music from the Restaurant Rydz; (2) Yes, Sorö, which was relaying dance music from the Restaurant Nimb until 12.30 a.m., 27/6/'27."
"Skylark","Norfolk","UK","52.6","1.0","If WL correct, possibly Belgrade testing (on about 1,650 m.).","Belgrade","Serbia","44.8","20.5","Skylark (Norfolk): If WL correct, possibly Belgrade testing (on about 1,650 m.)."
"Schnell O-V-2","Liverpool","UK","53.4","-2.9","(1) Amateur transmitter (West Hill, Putney) on about 44 m.","London","UK","51.5","-0.1","Schnell O-V-2 (Liverpool): (1) Amateur transmitter (West Hill, Putney) on about 44 m.; (2) Too vague, cannot trace; (3) Dutch Posts and Telegraphs (The Hague) if WL is correct; (4) No definite times for this short-wave transmission are given; why not write to the station?; (5) All that you need is the morse alphabet; the rest is a question of practice."
"Schnell O-V-2","Liverpool","UK","53.4","-2.9","(2) Too vague, cannot trace.","","","","","Schnell O-V-2 (Liverpool): (1) Amateur transmitter (West Hill, Putney) on about 44 m.; (2) Too vague, cannot trace; (3) Dutch Posts and Telegraphs (The Hague) if WL is correct; (4) No definite times for this short-wave transmission are given; why not write to the station?; (5) All that you need is the morse alphabet; the rest is a question of practice."
"Schnell O-V-2","Liverpool","UK","53.4","-2.9","(3) Dutch Posts and Telegraphs (The Hague) if WL is correct","The Hague","Netherlands","52.1","4.3","Schnell O-V-2 (Liverpool): (1) Amateur transmitter (West Hill, Putney) on about 44 m.; (2) Too vague, cannot trace; (3) Dutch Posts and Telegraphs (The Hague) if WL is correct; (4) No definite times for this short-wave transmission are given; why not write to the station?; (5) All that you need is the morse alphabet; the rest is a question of practice."
"Schnell O-V-2","Liverpool","UK","53.4","-2.9","(4) No definite times for this short-wave transmission are given; why not write to the station?","","","","","Schnell O-V-2 (Liverpool): (1) Amateur transmitter (West Hill, Putney) on about 44 m.; (2) Too vague, cannot trace; (3) Dutch Posts and Telegraphs (The Hague) if WL is correct; (4) No definite times for this short-wave transmission are given; why not write to the station?; (5) All that you need is the morse alphabet; the rest is a question of practice."
"Schnell O-V-2","Liverpool","UK","53.4","-2.9","(5) All that you need is the morse alphabet; the rest is a question of practice.","","","","","Schnell O-V-2 (Liverpool): (1) Amateur transmitter (West Hill, Putney) on about 44 m.; (2) Too vague, cannot trace; (3) Dutch Posts and Telegraphs (The Hague) if WL is correct; (4) No definite times for this short-wave transmission are given; why not write to the station?; (5) All that you need is the morse alphabet; the rest is a question of practice."
"Stuart","Guildford","UK","51.2","-0.6","Nuremberg relaying dance music from Munich.","Nuremberg","Germany","49.5","11.1","Stuart (Guildford): Nuremberg relaying dance music from Munich."
"Ambrose","Bexhill","UK","50.8","0.5","(1) Rather vague; most probably Göteborg relaying Stockholm","Gothenburg","Sweden","57.7","11.9","Ambrose (Bexhill): (1) Rather vague; most probably Göteborg relaying Stockholm; (2) Cannot trace; either direction or wavelength wrong."
"Ambrose","Bexhill","UK","50.8","0.5","(2) Cannot trace; either direction or wavelength wrong.","","","","","Ambrose (Bexhill): (1) Rather vague; most probably Göteborg relaying Stockholm; (2) Cannot trace; either direction or wavelength wrong."
"Xerxes","Devonport","UK","50.4","-4.2","Stuttgart gave a transmission of gramophone records during Eclipse tests.","Stuttgart","Germany","48.8","9.2","Xerxes (Devonport): Stuttgart gave a transmission of gramophone records during Eclipse tests."
"Twin Valve","Harpenden","UK","51.8","-0.4","Would tally with 2XAF, General Electric Co’s. short wave transmission of WGY (Schenectady) programme. Wavelength 32.77 m.","Schenectady","USA","42.8","-73.9","Twin Valve (Harpenden): Would tally with 2XAF, General Electric Co’s. short wave transmission of WGY (Schenectady) programme. Wavelength 32.77 m."
"R. W. A.","Dover","UK","51.1","1.3","Apparently a test; probably Sorö (Denmark).","Sorø","Denmark","55.4","11.6","R. W. A. (Dover): Apparently a test; probably Sorö (Denmark)."
