"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Highlander","Guildford","UK","51.2","-0.6","Kalundborg, relaying Copenhagen News. Later, dance music from the Restaurant Nimb.","Kalundborg","Denmark","55.7","11.1","Highlander (Guildford): Kalundborg, relaying Copenhagen News. Later, dance music from the Restaurant Nimb."
"Puritan","Stoughton","UK","","","Munich, broadcast of Arthur Honegger’s King David.","Munich","Germany","48.1","11.6","Puritan (Stoughton): Munich, broadcast of Arthur Honegger’s King David."
"Smugger","","","","","(1) Yes, Moscow Comintern (RDW),","Moscow","Russia","55.8","37.6","Smugger: (1) Yes, Moscow Comintern (RDW), (2) Yes, Leningrad, (3) Yes, Kalundborg, relaying afternoon concert from Copenhagen, (3) Yes, Leningrad."
"Smugger","","","","","(2) Yes, Leningrad,","Saint Petersburg","Russia","59.9","30.3","Smugger: (1) Yes, Moscow Comintern (RDW), (2) Yes, Leningrad, (3) Yes, Kalundborg, relaying afternoon concert from Copenhagen, (3) Yes, Leningrad."
"Smugger","","","","","(3) Yes, Kalundborg, relaying afternoon concert from Copenhagen,","Kalundborg","Denmark","55.7","11.1","Smugger: (1) Yes, Moscow Comintern (RDW), (2) Yes, Leningrad, (3) Yes, Kalundborg, relaying afternoon concert from Copenhagen, (3) Yes, Leningrad."
"Smugger","","","","","(3) Yes, Leningrad.","Saint Petersburg","Russia","59.9","30.3","Smugger: (1) Yes, Moscow Comintern (RDW), (2) Yes, Leningrad, (3) Yes, Kalundborg, relaying afternoon concert from Copenhagen, (3) Yes, Leningrad."
"E. C.","Ashford","UK","51.1","0.9","A new Italian station (not yet definitely identified) on 545 m. relaying Milan.","Milan","Italy","45.5","9.2","E. C. (Ashford); H. W. Davies (Pershore): A new Italian station (not yet definitely identified) on 545 m. relaying Milan."
"H. W. Davies","Pershore","UK","52.1","-2.1","A new Italian station (not yet definitely identified) on 545 m. relaying Milan.","Milan","Italy","45.5","9.2","E. C. (Ashford); H. W. Davies (Pershore): A new Italian station (not yet definitely identified) on 545 m. relaying Milan."
"Victor","Hull","UK","53.7","-0.3","PTT Paris, relaying dance music from the Coliseum until midnight.","Paris","France","48.9","2.4","Victor (Hull): PTT Paris, relaying dance music from the Coliseum until midnight."
"Mus. Doc.","St. Margaret’s-on-Thames","UK","","","Yes, if your estimate of WL is correct, this was Kharkov (Russia) which is broadcasting on about 1,700 m.","Kharkiv","Ukraine","49.9","36.3","Mus. Doc. (St. Margaret’s-on-Thames): Yes, if your estimate of WL is correct, this was Kharkov (Russia) which is broadcasting on about 1,700 m."
"3 Valves","Malton","UK","54.1","-0.8","Details would tally with Copenhagen. Children’s hour, followed by news.","Copenhagen","Denmark","55.7","12.6","3 Valves (Malton): Details would tally with Copenhagen. Children’s hour, followed by news."
"H. R. B.","Edinburgh","UK","55.9","-3.2","Kalundborg relaying Copenhagen. Children’s hour, followed by news.","Kalundborg","Denmark","55.7","11.1","H. R. B. (Edinburgh): Kalundborg relaying Copenhagen. Children’s hour, followed by news."
"F. J. YK","New Earswick","UK","54.0","-1.1","2 Valve (Radcliffe): As you give no estimate of WL it is impossible to trace; possibly a Spanish station at that time.","","","","","F. J. YK (New Earswick); N. O (Birmingham): 2 Valve (Radcliffe): As you give no estimate of WL it is impossible to trace; possibly a Spanish station at that time."
"N. O","Birmingham","UK","52.5","-1.9","2 Valve (Radcliffe): As you give no estimate of WL it is impossible to trace; possibly a Spanish station at that time.","","","","","F. J. YK (New Earswick); N. O (Birmingham): 2 Valve (Radcliffe): As you give no estimate of WL it is impossible to trace; possibly a Spanish station at that time."
"J. J. Y","Ashford","UK","51.1","0.9","Huizen (Holland), 1,840 m.","Huizen","Netherlands","52.3","5.2","J. J. Y (Ashford): Huizen (Holland), 1,840 m."
"Shipman","Dover","UK","51.1","1.3","Hilversum (Holland) Church Service.","Hilversum","Netherlands","52.2","5.2","Shipman (Dover): Hilversum (Holland) Church Service."
"Quarte","Pontypool","UK","51.7","-3.0","O’Donnell: Not advertised in programmes, but reports have been received from other listeners of this transmission, and all details would point to Kalundborg.","Kalundborg","Denmark","55.7","11.1","Quarte (Pontypool): O’Donnell: Not advertised in programmes, but reports have been received from other listeners of this transmission, and all details would point to Kalundborg."
"Smoker 3B","Barkingside","UK","51.6","0.1","PTT Lille. At 11.30 a.m. relay of a ceremony at the inauguration of the Monument to Louise de Bettignies, the French “Edith Cavell.”","Lille","France","50.6","3.1","Smoker 3B (Barkingside): PTT Lille. At 11.30 a.m. relay of a ceremony at the inauguration of the Monument to Louise de Bettignies, the French “Edith Cavell.” Later a relay of concert from Roubaix (Exhibition of Textile Industries)."
"Smoker 3B","Barkingside","UK","51.6","0.1","Later a relay of concert from Roubaix (Exhibition of Textile Industries).","Roubaix","France","50.7","3.2","Smoker 3B (Barkingside): PTT Lille. At 11.30 a.m. relay of a ceremony at the inauguration of the Monument to Louise de Bettignies, the French “Edith Cavell.” Later a relay of concert from Roubaix (Exhibition of Textile Industries)."
"E. F. B.","Walsall","UK","52.6","-2.0","Kalundborg, relaying Copenhagen. Dance music until 1 a.m. G.M.T. from Berlin, London and the Restaurant Nimb, Copenhagen.","Kalundborg","Denmark","55.7","11.1","E. F. B. (Walsall): Kalundborg, relaying Copenhagen. Dance music until 1 a.m. G.M.T. from Berlin, London and the Restaurant Nimb, Copenhagen."
"H. T. W.","Wokingham","UK","51.4","-0.9","Hilversum (Holland). From 10.10 - 1.40 p.m., concert of newest gramophone records.","Hilversum","Netherlands","52.2","5.2","H. T. W. (Wokingham): Hilversum (Holland). From 10.10 - 1.40 p.m., concert of newest gramophone records."
"Abbeyhill","Edinburgh","UK","55.9","-3.2","Believe new station at Almeria (Spain), possibly relaying Madrid (EAJ7).","Almeria","Spain","36.8","-2.5","Abbeyhill (Edinburgh): Believe new station at Almeria (Spain), possibly relaying Madrid (EAJ7)."
