"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"All Concert","","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","All Concert: Madrid (EAJ7)."
"W. J. Gillott","","","","","Madrid (EAJ6).","Madrid","Spain","40.4","-3.7","W. J. Gillott: Madrid (EAJ6)."
"Etpork","","","","","Apparently English lesson; Oslo.","Oslo","Norway","59.9","10.8","Etpork: Apparently English lesson; Oslo."
"Templar","","","","","Too vague as to WL.","","","","","Templar: Too vague as to WL."
"Punchinello","","","","","An interesting query. Please send further details, as cannot trace German transmission at that time, unless Koenigsusterhausen (Press).","Koenigsusterhausen","Germany","52.3","13.6","Punchinello: An interesting query. Please send further details, as cannot trace German transmission at that time, unless Koenigsusterhausen (Press)."
"Jerandy","Norwood","","","","Too vague.","","","","","Jerandy (Norwood): Too vague."
"T.B.16","Darwen","","","","Times tally with Hamburg, but no details of band transmission. Was this not a gramophone?","Hamburg","Germany","53.5","10.0","T.B.16 (Darwen): Times tally with Hamburg, but no details of band transmission. Was this not a gramophone?"
"L.429141","","","","","Milan.","Milan","Italy","45.5","9.2","L.429141: Milan."
"Isaac","","","","","WL too vague.","","","","","Isaac: WL too vague."
"Da","","","","","Ryvang (Wagner evening).","Ryvang","Denmark","55.7","12.6","Da: Ryvang (Wagner evening)."
"Don Quixote","","","","","Surely Barcelona (EAJ13); if not, perhaps Toulouse (late transmission).","Barcelona","Spain","41.4","2.2","Don Quixote: Surely Barcelona (EAJ13); if not, perhaps Toulouse (late transmission)."
"Daphne","","","","","Probably relay of Stockholm (Göteborg Rundradio).","Stockholm","Sweden","59.3","18.1","Daphne: Probably relay of Stockholm (Göteborg Rundradio)."
"D.X.Fan","","","","","(1) Radio-Toulouse, (2) Moscow, (3) cannot trace on that WL.","Toulouse","France","43.6","1.4","D.X.Fan: (1) Radio-Toulouse, (2) Moscow, (3) cannot trace on that WL."
"D.X.Fan","","","","","(1) Radio-Toulouse, (2) Moscow, (3) cannot trace on that WL.","Moscow","Russia","55.8","37.6","D.X.Fan: (1) Radio-Toulouse, (2) Moscow, (3) cannot trace on that WL."
"D.X.Fan","","","","","(1) Radio-Toulouse, (2) Moscow, (3) cannot trace on that WL.","","","","","D.X.Fan: (1) Radio-Toulouse, (2) Moscow, (3) cannot trace on that WL."
"Wave Trap","","","","","Vienna.","Vienna","Austria","48.2","16.4","Wave Trap: Vienna."
"E. W. A.","Watford","","","","(a) Yes, Moscow, (b) cannot trace.","Moscow","Russia","55.8","37.6","E. W. A. (Watford): (a) Yes, Moscow, (b) cannot trace."
"E. W. A.","Watford","","","","(a) Yes, Moscow, (b) cannot trace.","","","","","E. W. A. (Watford): (a) Yes, Moscow, (b) cannot trace."
"Galen","Somersham","","","","Hamburg, relay of Hanover.","Hamburg","Germany","53.5","10.0","Galen (Somersham): Hamburg, relay of Hanover."
"3 Valve","Ealing","","","","Zurich.","Zurich","Switzerland","47.4","8.5","3 Valve (Ealing): Zurich."
"Verykeen","Devon","","","","Daventry.","Daventry","UK","52.3","-1.2","Verykeen (Devon): Daventry."
"Ireland","Campbell","","","","Moscow (RDW).","Moscow","Russia","55.8","37.6","Ireland (Campbell): Moscow (RDW)."
"Rover","Chester","","","","Oslo.","Oslo","Norway","59.9","10.8","Rover (Chester): Oslo."
"Francisco","Gillingham","","","","Cymbal. Radio-Paris.","Paris","France","48.9","2.4","Francisco (Gillingham): Cymbal. Radio-Paris."
"Wearside","","","","","(a) Berne, (b) Rome testing.","Berne","Switzerland","46.9","7.4","Wearside: (a) Berne, (b) Rome testing."
"Wearside","","","","","(a) Berne, (b) Rome testing.","Rome","Italy","41.9","12.5","Wearside: (a) Berne, (b) Rome testing."
"Het-Watcher","","","","","Probably Barcelona (EAJ1).","Barcelona","Spain","41.4","2.2","Het-Watcher: Probably Barcelona (EAJ1)."
"Sky Scraper","Devonport","","","","(2) Cadiz (EAJ3).","Cadiz","Spain","36.5","-6.3","Sky Scraper (Devonport): (2) Cadiz (EAJ3)."
"Rewler","","","","","Milan.","Milan","Italy","45.5","9.2","Rewler: Milan."
"A. L. S.","Coventry","","","","(1) WL too vague, Pagliacci not in programmes, (2) Muenster, (3) Rome testing.","Muenster","Germany","51.9","7.6","A. L. S. (Coventry): (1) WL too vague, Pagliacci not in programmes, (2) Muenster, (3) Rome testing."
"A. L. S.","Coventry","","","","(1) WL too vague, Pagliacci not in programmes, (2) Muenster, (3) Rome testing.","Rome","Italy","41.9","12.5","A. L. S. (Coventry): (1) WL too vague, Pagliacci not in programmes, (2) Muenster, (3) Rome testing."
"W. H. D.","Salop","","","","Amateur, cannot trace.","","","","","W. H. D. (Salop): Amateur, cannot trace."
"Crystovox","Cardiff","","","","Yes, Rugby testing.","Rugby","UK","52.4","-1.3","Crystovox (Cardiff): Yes, Rugby testing."
"J. C.","Patricroft","","","","Cannot trace tests.","","","","","J. C. (Patricroft): Cannot trace tests."
"Devonian","","","","","Elberfeld relay of Muenster (Il Trovatore).","Elberfeld","Germany","51.3","7.0","Devonian: Elberfeld relay of Muenster (Il Trovatore)."
"Cromwell","Surrey","","","","Berlin.","Berlin","Germany","52.5","13.4","Cromwell (Surrey): Berlin."
"Tom Hunt","","","","","(10.30 a.m.) Karlsborg relay of Stockholm, (11.15 a.m.) Karlsborg.","Karlsborg","Sweden","58.5","14.5","Tom Hunt: (10.30 a.m.) Karlsborg relay of Stockholm, (11.15 a.m.) Karlsborg."
"Tom Hunt","","","","","(10.30 a.m.) Karlsborg relay of Stockholm, (11.15 a.m.) Karlsborg.","Karlsborg","Sweden","58.5","14.5","Tom Hunt: (10.30 a.m.) Karlsborg relay of Stockholm, (11.15 a.m.) Karlsborg."
"Interested","Belfast","","","","Moscow (RDW).","Moscow","Russia","55.8","37.6","Interested (Belfast): Moscow (RDW)."
"Curious","Cradley Heath","","","","Hamburg relay of Hanover.","Hamburg","Germany","53.5","10.0","Curious (Cradley Heath): Hamburg relay of Hanover."
"Number 52","Farnborough","","","","Breslau testing.","Breslau","Germany","51.1","17.0","Number 52 (Farnborough): Breslau testing."
"Saucepan","Llanelly","","","","(a.m.) Oslo, (p.m.) Hamburg, (10.10 p.m.) Too vague; Marseilles or Cadiz.","Oslo","Norway","59.9","10.8","Saucepan (Llanelly): (a.m.) Oslo, (p.m.) Hamburg, (10.10 p.m.) Too vague; Marseilles or Cadiz."
"Saucepan","Llanelly","","","","(a.m.) Oslo, (p.m.) Hamburg, (10.10 p.m.) Too vague; Marseilles or Cadiz.","Hamburg","Germany","53.5","10.0","Saucepan (Llanelly): (a.m.) Oslo, (p.m.) Hamburg, (10.10 p.m.) Too vague; Marseilles or Cadiz."
