"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Target","Birmingham","","52.5","-1.9","Elberfeld.","Elberfeld","Germany","","","Target (Birmingham): Elberfeld."
"Llewbb","Birmingham","","52.5","-1.9","(1) Marseilles (PTT) relay of Paris","Marseilles","France","43.3","5.4","Llewbb (Birmingham): (1) Marseilles (PTT) relay of Paris, (2) San Sebastian."
"Llewbb","Birmingham","","52.5","-1.9","(2) San Sebastian.","San Sebastian","Spain","43.3","-1.9","Llewbb (Birmingham): (1) Marseilles (PTT) relay of Paris, (2) San Sebastian."
"A.B.C.","Salop","","","","Rome testing.","Rome","Italy","41.9","12.5","A.B.C. (Salop): Rome testing."
"G.H.P.","Croydon","","51.4","-0.1","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","G.H.P. (Croydon): Madrid (EAJ7)."
"Riverside","","","","","Presumably Prague (during programme, mentioned Liszt).","Prague","Czech Republic","50.1","14.4","Riverside: Presumably Prague (during programme, mentioned Liszt)."
"F. C. Bono","","","","","Too vague.","","","","","F. C. Bono: Too vague."
"Ether Pivotter","","","","","Probably Breslau.","Breslau","Germany","","","Ether Pivotter: Probably Breslau."
"Albatross","","","","","Cannot say, only station immediately above is 2XAH (Schenectady) 1660 m.","Schenectady","USA","42.8","-73.9","Albatross: Cannot say, only station immediately above is 2XAH (Schenectady) 1660 m."
"Brightonian","","","","","Muenster.","Muenster","Germany","51.9","7.6","Brightonian: Muenster."
"Reveal","Chiswick","","51.5","-0.3","Lecture from Koenigswusterhausen (direct) on milk and cookery.","Koenigswusterhausen","Germany","52.3","13.6","Reveal (Chiswick): Lecture from Koenigswusterhausen (direct) on milk and cookery."
"Short Wave","Gloucester","","51.9","-2.2","WGY (Schenectady), about 50 m.","Schenectady","USA","42.8","-73.9","Short Wave (Gloucester): WGY (Schenectady), about 50 m."
"Elm Tree","","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Elm Tree: Madrid (EAJ7)."
"Black Eagle","","","","","(1) Koenigswusterhausen","Koenigswusterhausen","Germany","52.3","13.6","Black Eagle: (1) Koenigswusterhausen, (2) Berlin."
"Black Eagle","","","","","(2) Berlin.","Berlin","Germany","52.5","13.4","Black Eagle: (1) Koenigswusterhausen, (2) Berlin."
"Greedy","Norwich","","52.6","1.3","Berlin.","Berlin","Germany","52.5","13.4","Greedy (Norwich): Berlin."
"Oscillator","Felixstowe","","51.9","1.3","","","","","","Oscillator (Felixstowe):"
"W. T. Cocking","The Mall","","","","Rome testing.","Rome","Italy","41.9","12.5","W. T. Cocking (The Mall): Rome testing."
"Knab","","","","","Eiffel Tower (phonetically, ""Two-err Ay-tell).","Paris","France","48.9","2.4","Knab: Eiffel Tower (phonetically, ""Two-err Ay-tell)."
